car_number,lap_number,lap_time,track_name
001,1,142.21740684351624,Road America
001,2,145.6317298470032,Road America
001,3,148.40957567538584,Road America
001,4,148.19378162999692,Road America
001,5,151.1616208610047,Road America
001,6,155.14034234068794,Road America
001,7,155.9976795499692,Road America
001,8,162.10775696338698,Road America
001,9,161.22824674980455,Road America
001,10,162.02859865182717,Road America
001,11,169.6703698941021,Road America
001,12,168.24992191624938,Road America
001,13,171.72734089565031,Road America
001,14,179.88544632438982,Road America
001,15,178.5889344181311,Road America
001,16,179.27005765130164,Road America
001,17,183.03260024620366,Road America
001,18,184.16010795829342,Road America
001,19,192.56949192677843,Road America
001,20,193.9798014278553,Road America
001,21,195.02410266439617,Road America
001,22,199.72203204750366,Road America
001,23,205.62071229500262,Road America
001,24,203.6576547669012,Road America
001,25,209.08795276200544,Road America
002,1,138.96031888494332,Road America
002,2,144.49358245330583,Road America
002,3,143.5004467154444,Road America
002,4,148.30313010991355,Road America
002,5,153.58733059879475,Road America
002,6,156.81429140980336,Road America
002,7,156.1047763091918,Road America
002,8,161.5059603384482,Road America
002,9,164.53083449528378,Road America
002,10,164.1006414191929,Road America
002,11,168.96494223820338,Road America
002,12,173.38958803788006,Road America
002,13,176.34049830283655,Road America
002,14,178.31747036681287,Road America
002,15,176.0869518046004,Road America
002,16,184.7183050419008,Road America
002,17,185.59229001754423,Road America
002,18,185.87181576314572,Road America
002,19,191.7432790209959,Road America
002,20,189.91575590813244,Road America
002,21,197.3026595631972,Road America
002,22,198.18277803564456,Road America
002,23,203.77108045171244,Road America
002,24,206.0464529615932,Road America
002,25,206.46456426431195,Road America
003,1,138.0569314531383,Road America
003,2,144.59313611200253,Road America
003,3,145.4539106519525,Road America
003,4,147.42450848474334,Road America
003,5,149.02176436725483,Road America
003,6,156.5357732797548,Road America
003,7,158.4000770246659,Road America
003,8,159.92162323883548,Road America
003,9,165.39809487687933,Road America
003,10,166.0569866179144,Road America
003,11,169.65167509811013,Road America
003,12,171.07939404248765,Road America
003,13,171.49821952811993,Road America
003,14,179.5786880084825,Road America
003,15,181.74960948147165,Road America
003,16,180.26807703633906,Road America
003,17,185.00282605322022,Road America
003,18,185.90181093149988,Road America
003,19,188.917460247127,Road America
003,20,193.76544583328143,Road America
003,21,199.5479420691799,Road America
003,22,202.39475742589346,Road America
003,23,203.89479551748065,Road America
003,24,207.88734312981728,Road America
003,25,206.11418053444953,Road America
004,1,142.60713112407376,Road America
004,2,143.32831898284653,Road America
004,3,144.7032823139159,Road America
004,4,151.18216834937996,Road America
004,5,151.2681264754877,Road America
004,6,151.8608874307192,Road America
004,7,159.1068458520134,Road America
004,8,157.58677924639363,Road America
004,9,162.65780644394792,Road America
004,10,164.01619878016703,Road America
004,11,165.04862437731282,Road America
004,12,169.72090898778248,Road America
004,13,171.80631397359682,Road America
004,14,178.6284343319378,Road America
004,15,177.13474269845207,Road America
004,16,181.550569378137,Road America
004,17,182.57050929606177,Road America
004,18,188.20552151944705,Road America
004,19,194.11267769135804,Road America
004,20,190.11069338995634,Road America
004,21,192.14093265520597,Road America
004,22,196.840347111464,Road America
004,23,201.894482952396,Road America
004,24,206.82544603329632,Road America
004,25,209.79291301444033,Road America
005,1,138.87114749682252,Road America
005,2,145.51890728558908,Road America
005,3,143.5877769254198,Road America
005,4,146.49287704818798,Road America
005,5,153.40958468630112,Road America
005,6,156.37688002233597,Road America
005,7,155.5790429408739,Road America
005,8,160.90211849995674,Road America
005,9,159.75097197124856,Road America
005,10,166.43507986450425,Road America
005,11,170.20099842275397,Road America
005,12,168.51292395189165,Road America
005,13,174.3513091769699,Road America
005,14,176.12493035305081,Road America
005,15,179.66549525562965,Road America
005,16,184.55492579661257,Road America
005,17,188.29970512327566,Road America
005,18,190.62310200273103,Road America
005,19,188.27828221811444,Road America
005,20,193.9602143131975,Road America
005,21,195.3031882251638,Road America
005,22,195.63110647315412,Road America
005,23,203.22981236232383,Road America
005,24,204.02043788597666,Road America
005,25,211.2293244435022,Road America
