car_number,lap_number,lap_time,track_name
001,1,83.82203300302643,Barber Motorsports Park
001,2,86.35825791098257,Barber Motorsports Park
001,3,88.61469421639856,Barber Motorsports Park
001,4,89.33468243642214,Barber Motorsports Park
001,5,90.37772346202233,Barber Motorsports Park
001,6,91.67634746538556,Barber Motorsports Park
001,7,94.16617873651617,Barber Motorsports Park
001,8,96.94730387825038,Barber Motorsports Park
001,9,96.64077363097753,Barber Motorsports Park
001,10,100.54847366692913,Barber Motorsports Park
001,11,101.98794283161999,Barber Motorsports Park
001,12,103.90095078725811,Barber Motorsports Park
001,13,105.54749635683822,Barber Motorsports Park
001,14,107.0681571666939,Barber Motorsports Park
001,15,110.02344194421235,Barber Motorsports Park
001,16,110.01128031904446,Barber Motorsports Park
001,17,113.13608141750302,Barber Motorsports Park
001,18,113.27703307869201,Barber Motorsports Park
001,19,117.341962016874,Barber Motorsports Park
001,20,115.57564417954259,Barber Motorsports Park
001,21,120.26339439047058,Barber Motorsports Park
001,22,120.47235021462573,Barber Motorsports Park
001,23,121.39067859981739,Barber Motorsports Park
001,24,122.92120610316132,Barber Motorsports Park
001,25,125.19134342792138,Barber Motorsports Park
002,1,84.95842558297682,Barber Motorsports Park
002,2,85.79557332181588,Barber Motorsports Park
002,3,88.84010741867573,Barber Motorsports Park
002,4,91.54462047875965,Barber Motorsports Park
002,5,90.86071122256521,Barber Motorsports Park
002,6,94.20764504272634,Barber Motorsports Park
002,7,97.09594232250144,Barber Motorsports Park
002,8,97.14172010964462,Barber Motorsports Park
002,9,96.92673637657404,Barber Motorsports Park
002,10,101.95118243922366,Barber Motorsports Park
002,11,103.21712995367837,Barber Motorsports Park
002,12,104.6434347674255,Barber Motorsports Park
002,13,105.56501874081307,Barber Motorsports Park
002,14,109.05224643438972,Barber Motorsports Park
002,15,109.06266002824545,Barber Motorsports Park
002,16,109.93042357612319,Barber Motorsports Park
002,17,113.02746664036583,Barber Motorsports Park
002,18,113.34142165406647,Barber Motorsports Park
002,19,113.53180620014109,Barber Motorsports Park
